acc.20240508T175211.json
speed.20240508T175211.json
Name,Mean dist. error (nm),Max dist. error (nm),M conversions/sec
Bowring 1976 (x2),1.870,567.758,21.050
Bowring 1985 (x2),1.788,133.281,18.922
Bowring-Toms 1995 (x2),1.841,641.915,20.982
GeographicLib,1.050,238.419,10.883
GeographicLib (c.h.),2.852,188.487,12.836
Halley quick (x2),2.640,190.828,13.292
Halley (x2),0.929,178.814,13.090
Heikkinen 1982,1.693,188.487,13.569
Heikkinen 1982 (c.h.),2.367,133.281,14.669
Householder quick (x2),2.636,214.908,12.720
Householder (x2),0.932,178.814,12.521
Lin-Wang 1995 (c.h.) (x2),2.267,149.012,18.840
Lin-Wang 1995 (x2),2.052,245.757,17.526
Newton-Raphson quick (x2),2.782,783.825,14.964
Newton-Raphson (x2),0.945,783.126,14.776
Olson 1996,1.374,2460.322,26.454
Olson 1996 (c.h.),2.673,1775.409,48.730
Pollard 2002 Newton (x2),1.570,133.281,17.302
Schroder quick (x2),2.892,1033.419,12.980
Schroder (x2),0.948,1033.419,12.608
Shu 2010 (c.h.) (x2),2.911,508.399,26.650
Shu 2010 (x2),2.161,188.487,24.985
Vermeille 2004,1.267,178.814,11.518
Vermeille 2004 (c.h.),3.020,188.487,14.313
Vermeille 2011,1.265,178.814,9.833
Vermeille 2011 (c.h.),3.243,238.448,12.431
Zhang 2005,2.173,245.757,12.253
Zhu 1993,4.637,113276.765,15.813
