acc.20240508T175211.json
speed.20240508T175211.json
Name,Mean dist. error (nm),Max dist. error (nm),M conversions/sec
Borkowski 1989,118.69482179784235,965682.7860453632,15.227269707892278
Bowring 1976 (x1),25347104.42946387,6842446110.909804,30.49487995845291
Bowring 1976 (x2),1.869744829041117,567.7576319661798,21.04915628108483
Bowring 1985 (x1),533.8957633128725,2730584.9362164834,27.420204574101536
Bowring 1985 (x2),1.7876560029592854,133.28003749250112,18.921270561589143
Bowring-Toms 1995 (x1),2505801.0459517236,7273406476.015225,31.361537108979615
Bowring-Toms 1995 (x2),1.8409293217282092,641.914179560775,20.981834798334848
Fukushima 1999 (c.h.) (x1),17549010317367222,982564111760206100,36.11556643863082
Fukushima 1999 (x1),4762651273683434,148211128919818140,31.353577114620425
Fukushima 2006 (x1),39400.16262169376,66368420.49192637,31.45405762855454
Fukushima 2006 (x2),1.3530420294153684e+107,9.9e+107,21.5160018645038
GeographicLib,1.0492298503388053,238.4185791015625,10.882177094378182
GeographicLib (c.h.),2.851134828409062,188.48643661548968,12.835179114000905
geotransformCpp,117803.65736342862,842549.8381257057,17.893777153815456
geotransformCpp (c.h.),120689.42987405331,847098.3511697702,23.690601388048425
Gersten 1961,16543053761909378,665788629441281200,34.6671647391011
Halley quick (x1),82450297.53627484,4352607548.236847,19.538906633113605
Halley quick (x2),2.6393806989199797,190.82797281243947,13.291857636786077
Halley (x1),82450297.43949291,4352607607.841492,21.727404951468763
Halley (x2),0.9288304690738889,178.81393432617188,13.089786177296464
Heikkinen 1982,1.6920075319144094,188.48643661548968,13.568061365293962
Heikkinen 1982 (c.h.),2.3663623319503055,133.28003749250112,14.668160340568425
Householder quick (x1),82451315.82299635,4352674067.020416,18.917247220440633
Householder quick (x2),2.635335639502255,214.90760299348767,12.71974751849986
Householder (x1),82451315.72782192,4352674067.020416,21.03033689762536
Householder (x2),0.9313081609292688,178.81393432617188,12.520982509173933
JAT Geodetic,8453532.988359379,25292775163.59252,8.897957801636212
Jones 2002 (x1),11781354724.387194,198546058319.3926,32.01262813339457
Ligas 2011 I (x1),38365527.336741336,8841109968.605452,31.76490858801504
Ligas 2011 I (x2),12.367843355646158,142820.9943697331,23.764528482850977
Lin-Wang 1995 (c.h.) (x1),113268.59939184539,488796170.24120593,24.29183699134516
Lin-Wang 1995 (c.h.) (x2),2.2662252843346766,149.01161193847656,18.839931359443273
Lin-Wang 1995 (x1),429.8594292125553,2321543.6376631525,22.127432738020406
Lin-Wang 1995 (x2),2.051764787833054,245.75624618635538,17.52583310037927
Long 1974,15938077744742.57,30242461971828.715,22.010300573119913
Naive II (x1),4699043180.836827,143882909981.41748,25.287444522208457
Naive II (x2),3036773.8941668854,1672965495.439712,16.49751856475702
Naive I (x1),5271357956.226736,373648314864.4911,25.346884653808942
Naive I (x2),3605565.049016099,5773079658.2764015,16.632183360235626
Newton-Raphson quick (x1),151796416.2154244,8206320285.797119,21.43078381486977
Newton-Raphson quick (x2),2.7819110559624303,783.8243964412718,14.96392510689542
Newton-Raphson (x1),151796416.1448099,8206320285.797119,23.93633886345004
Newton-Raphson (x2),0.9445512839336457,783.1259045411534,14.775871701715584
Olson 1996,1.3734602567753875,2460.321414244659,26.453958668061517
Olson 1996 (c.h.),2.6722730917345254,1775.4083643903668,48.72963259438795
OpenGlobe,13928.410064648013,318894.362670552,12.382672320224987
Ozone 1985,232.52170237132555,366565.1505046991,24.200046610785215
Paul 1973,4.9514877261550564e+107,9.9e+107,15.875235470306434
Pollard 2002 height (x1),32146216786094028,1225331195361346800,17.249995880903448
Pollard 2002 naive (x1),86841505.42652021,10305654109.33923,27.907071603444276
Pollard 2002 naive (x2),429036.07516188145,264242187.14237213,20.4772280714076
Pollard 2002 Newton (x1),533.7096020445274,2730584.9362164834,25.51486459002256
Pollard 2002 Newton (x2),1.5690224613844186,133.28003749250112,17.301252685952758
Schroder quick (x1),312990985.05669814,16911402344.703674,19.54882356797083
Schroder quick (x2),2.8915206570741767,1033.418838086228,12.979341512558904
Schroder (x1),312990985.01363486,16911402344.703674,22.145344182290653
Schroder (x2),0.9479881448573347,1033.418838086228,12.607773522288753
SEDRIS,78632.64806017965,913023.017346859,19.14655111882789
SEDRIS (c.h.),105527.26253343596,924272.3318743766,26.47302484779509
Shu 2010 (c.h.) (x1),52241.23996292484,1139387620.6067266,33.14112067760449
Shu 2010 (c.h.) (x2),2.9100445029177404,508.39851940779647,26.649489214297784
Shu 2010 (x1),198.87682281582377,5411534.919403499,31.55694031860556
Shu 2010 (x2),2.1602918493894596,188.48643661548968,24.984285952737256
Sofair 1993,1.6385714534953978e+105,9.9e+107,17.478573788123636
Sofair 2000,6551162235.726594,51346831726623.46,18.052466784944396
Sudano 1997,9.9e+107,9.9e+107,16.64696150381644
Turner 2013,1614503781776.7068,3076400129563344,11.169195933468698
Vermeille 2004,1.2665272730688235,178.81393432617188,11.517728020759034
Vermeille 2004 (c.h.),3.0198410099737876,188.48643661548968,14.312301711017344
Vermeille 2011,1.2643474805962513,178.81393432617188,9.83208888724708
Vermeille 2011 (c.h.),3.2428077990982667,238.4476811558792,12.430512316979902
Wu 2003 (x1),111907034990.45868,4942306064903.736,30.82608006032952
Wu 2003 (x2),459061.2559220385,27590155.601501465,26.08864346512515
Zhang 2005,2.1722284345995626,245.75624618635538,12.252577728893458
Zhu 1993,4.636600201461938,113276.76475048065,15.812162760707713
