acc.20240113T160326.json
speed.20240113T160326.json
Name,Mean dist. error (nm),Max dist. error (nm),M conversions/sec
Bowring 1976 (2),1.870,567.758,23.970
Bowring 1985 (2),1.788,133.281,21.916
Bowring-Toms 1995 (2),1.841,641.915,24.034
GeographicLib,1.050,238.419,12.217
GeographicLib (c.h.),2.852,188.487,14.131
Halley (2),0.929,178.814,14.504
Halley quick (2),2.640,190.828,14.682
Heikkinen 1982,1.693,188.487,16.075
Heikkinen 1982 (c.h.),2.367,133.281,17.338
Householder (2),0.932,178.814,14.051
Householder quick (2),2.636,214.908,14.248
Lin-Wang 1995 (2),2.052,245.757,18.898
Lin-Wang 1995 (c.h.) (2),2.267,149.012,19.923
Newton-Raphson (2),0.945,783.126,17.037
Newton-Raphson quick (2),2.782,783.825,16.814
Olson 1996,1.374,2460.322,31.430
Olson 1996 (c.h.),2.673,1775.409,55.858
Pollard 2002 Newton (2),1.570,133.281,19.599
Schroder (2),0.948,1033.419,14.477
Schroder quick (2),2.892,1033.419,14.456
Shu 2010 (2),2.161,188.487,28.062
Shu 2010 (c.h.) (2),2.911,508.399,29.586
Vermeille 2004,1.267,178.814,13.140
Vermeille 2004 (c.h.),3.020,188.487,16.287
Vermeille 2011,1.265,178.814,11.237
Vermeille 2011 (c.h.),3.243,238.448,13.890
Zhang 2005,2.173,245.757,13.860
Zhu 1993,4.637,113276.765,18.763
