acc.20240306T134246.json
speed.20240306T134246.json
Name,Mean dist. error (nm),Max dist. error (nm),M conversions/sec
Bowring 1976 (x2),1.870,567.758,23.231
Bowring 1985 (x2),1.788,133.281,21.405
Bowring-Toms 1995 (x2),1.841,641.915,23.281
GeographicLib,1.050,238.419,12.071
GeographicLib (c.h.),2.852,188.487,13.826
Halley quick (x2),2.640,190.828,14.549
Halley (x2),0.929,178.814,14.110
Heikkinen 1982,1.693,188.487,15.885
Heikkinen 1982 (c.h.),2.367,133.281,16.974
Householder quick (x2),2.636,214.908,13.910
Householder (x2),0.932,178.814,13.894
Lin-Wang 1995 (c.h.) (x2),2.267,149.012,19.679
Lin-Wang 1995 (x2),2.052,245.757,18.502
Newton-Raphson quick (x2),2.782,783.825,16.687
Newton-Raphson (x2),0.945,783.126,16.916
Olson 1996,1.374,2460.322,30.054
Olson 1996 (c.h.),2.673,1775.409,54.079
Pollard 2002 Newton (x2),1.570,133.281,19.591
Schroder quick (x2),2.892,1033.419,14.046
Schroder (x2),0.948,1033.419,14.251
Shu 2010 (c.h.) (x2),2.911,508.399,29.121
Shu 2010 (x2),2.161,188.487,26.778
Vermeille 2004,1.267,178.814,13.131
Vermeille 2004 (c.h.),3.020,188.487,16.128
Vermeille 2011,1.265,178.814,11.053
Vermeille 2011 (c.h.),3.243,238.448,13.740
Zhang 2005,2.173,245.757,13.752
Zhu 1993,4.637,113276.765,18.183
